"feature_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","maximum_absolute_loading","feature_set"
"F2021_mz219.1749_rt1.21",-0.00685875260208501,-0.00130291422047322,0.0535926440402058,-0.00952861147161631,-0.0099194356159404,0.0336765738424541,0.00429056398295735,0.0179571004323744,0.0235964791136429,-0.0286279749422172,0.001450931980799,-0.0137788042972653,-0.0493967295043919,-0.0259330847683136,0.0357322744605295,-0.0314529194187478,0.000673342386675865,0.0315642669487903,-0.0323805176013119,-0.0483885631772292,-0.000993848514609998,0.0404915063021535,-0.00985771647434348,-0.0820472546494776,0.0535926440402058,"Top_2000"
"F1754_mz201.1642_rt1.21",-0.00661559820904583,-0.00569170480831175,0.0535055540325891,0.0106358747926411,-0.00566860755294542,0.036956166217772,0.0183686475869876,-0.00325387025357004,0.0389278512167173,-0.037161694283573,-0.0525395702397615,-0.0144108563434782,-0.00278603316827366,-0.0100304776852455,0.00309269182452046,0.00421495246771323,0.000586358676689148,0.00781311189711791,0.00565826556667697,-0.0026017662870008,0.00475593833048509,-0.00552935823267679,-0.00210224014688633,-0.143987548116167,0.0535055540325891,"Top_2000"
"F2587_mz264.0986_rt1.08",-0.000230283420437167,0.00559228934391238,0.053085906576919,-0.00917198062129994,-0.0109762330512666,0.0266788679525473,0.00445844771834506,0.0215791487835941,0.0372542388031907,-0.0234126655708048,-0.026131265851455,0.0026400564912756,0.0456889502930027,0.00098655679022415,0.0477920830761899,0.0429913214156073,-0.0500449596846398,-0.0656486318753606,-0.0223175408058329,0.00437511446028475,-0.034404365637158,0.0176431390939559,0.0230424628667567,-0.00337913463440057,0.053085906576919,"Top_2000"
"F3461_mz331.1297_rt1.01",0.00918972103168697,0.000877932391568508,0.0529255981021579,0.0106635793249727,-0.00241399622024112,-0.0321195145164391,-0.0466398370236842,0.0176644757610235,0.035947959961966,0.0245251903082695,0.00907114838622847,0.00440577520418471,-0.0273476814790803,-0.0240792182163154,0.0208288748680219,-0.00445274306946545,-0.0235216782444374,-0.00449818215106122,0.0021045586441825,-2.32694124892696e-05,-0.0109750612657003,0.00395999955140445,-0.00469978615274063,-0.074494846282817,0.0529255981021579,"Top_2000"
"F2323_mz244.095_rt1.18",0.0123121713602607,-0.00713015610264364,0.0512289380914012,-0.0193623276647557,0.0109960469348954,0.0287692841259769,0.0136445529465317,0.0122320889895184,0.00865570022909884,0.00921942213846169,0.00940849935165741,0.00720757987328999,-0.0378301855101075,0.023899957084153,0.00556805586949415,0.00576024316969172,-0.00608495103371038,-0.0215918684762827,-0.000409700661232685,0.0100954458301652,0.00611737718555623,-0.00382945618285389,-0.00355472752630386,0.0105596811709437,0.0512289380914012,"Top_2000"
"F1789_mz203.1798_rt1.6",-0.00812925525809055,-0.0111806615248437,0.0508579893777895,0.0140036824858463,-0.00566511738406705,0.0554073404597783,0.0088396619887245,0.00386355010759389,0.00932960646824047,-0.0240098926387009,-0.0123537240830137,0.000754761819656711,0.0121996024783639,-0.0177770606261446,-0.000961300730773314,0.00413052312232817,-0.00509418334428485,0.00697263080868338,0.00478954531469434,0.000404254564342674,0.00508646570985341,-0.00538767028944142,-0.00211167038658743,0.0825750400569971,0.0508579893777895,"Top_2000"
"F2125_mz227.1434_rt1.54",-0.00825428298278447,-0.0141969615563553,0.0508070422422978,0.0190763842063457,-0.0061500799233863,0.0324328044236996,0.0159423191309353,0.00144996440402953,0.00945118759025465,-0.0150775269692345,-0.0211814033021134,0.00231776479011752,-0.014053623736778,-0.0102641770809607,0.0045516939198185,-0.000304166910520408,0.00311227650033541,-0.0023140606598736,0.0174756642115938,-0.0109508322769287,-0.00366634697019667,-0.00601309961304412,-0.00328072423235601,0.0295680840066784,0.0508070422422978,"Top_2000"
"F181_mz86.0602_rt0.45",0.00573217026405859,-0.00479913453260313,-0.0500968853303397,0.0432240084351783,0.0211627868675909,0.0318952392471078,-0.0139812127022826,0.0291546932917522,-0.0134277653262174,0.00069860567826301,0.0130247398333194,-0.0174059866210095,0.0188422656783191,-0.0287990080132961,-0.00898118235829214,-0.00316948889790896,0.00361448902209673,0.00174276199134407,0.00475527812418907,0.0185427010986923,0.0209285302476819,-0.00497076247304662,0.0137686402248049,0.0174960762286547,0.0500968853303397,"Top_2000"
"F2020_mz219.1747_rt1.58",-0.00779984119522399,-0.0128965824433857,0.0498964274591195,0.017506323214705,-0.000280236998244125,0.0296762564734314,0.00152682627374373,0.0123859205287329,0.045074440513485,-0.01205346586365,-0.0405142708876033,-0.0226528521541927,0.0321404737622982,-0.0322899905618082,-0.0145047717802929,0.0125133402512113,0.0361401667945424,-0.00796338226518042,-0.0157410996714834,-0.0151641764708301,0.0349158910967345,-0.00181939564662072,0.00664133199517457,0.0389153484905591,0.0498964274591195,"Top_2000"
"F1765_mz202.1078_rt1",0.00395206298855909,-0.0132872306986985,0.0498542479121249,-0.00190776663079994,-0.0344209479173525,0.0132034050686933,0.00204618003819796,0.004449490548988,-0.0190281789704462,-0.0411627637022701,0.00498861523140375,-0.0252790585063527,0.00198926271466338,-0.0662434063391454,-0.0298040483323025,-0.0419520814675145,-0.0250124431216445,-0.0127748183960518,-0.000310931035064222,-0.00845263075191497,-0.00500901447430212,-0.0113496524037268,0.0325128763522014,0.0691288613652867,0.0498542479121249,"Top_2000"
