"feature_name","old_control_logFC","old_control_p","old_control_FDR","new_control_logFC","new_control_p","new_control_FDR","old_new_logFC","old_new_p","old_new_FDR","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","RT_flag","MSMS_flag","annotation_flag","old_significant","new_significant","age_significant","same_direction","fungal_age_category"
"F4175_mz407.2396_rt1.02",2.51105061621177,0.00513800535923989,0.0664470881897342,-2.6126190729126,9.77517266219487e-05,0.00374086832920911,5.28975029426797,0.000234549882254126,0.0229300432508439,4175,1.022,407.23965,"Unknown","[M+H]+","ion correlated with 4067; ion correlated with 4082; ion correlated with 1927; ion correlated with 1765; ion correlated with 3243; ion correlated with 3461; ion correlated with 1504; ion correlated with 1606",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9700.03,0,789965,12,"RT >= 1 min","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F728_mz130.1229_rt1.24",4.13783554507332,0.000220086884100964,0.0332918093350058,-0.0161384941746621,0.893136096411376,0.926184988055652,4.32008379681118,0.000273848406460573,0.0230172895120152,728,1.235,130.12289,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 1207; similar chromatogram in higher mz_1444; similar chromatogram in higher mz_1176",0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",134.51,10188.6666666667,265.412116850404,23,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F650_mz125.0236_rt1.02",8.11772830564606,3.72979394103323e-05,0.0196682984185489,4.30967466611892,0.000383108537447601,0.0051765260714646,3.97412213571744,0.000291500013303651,0.0230172895120152,650,1.019,125.02357,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 885; similar chromatogram in higher mz_966; similar chromatogram in higher mz_2975; similar chromatogram in higher mz_3144; similar chromatogram in higher mz_4033; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_4321; found in higher mz's MsMs_1504",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.95,13448,237.297048107666,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F864_mz140.0345_rt0.72",2.69613428946179,0.000889735776732472,0.0475363011579493,-0.819937745943468,0.0221772224984546,0.0590179309161687,3.68218227593825,0.000288914478169217,0.0230172895120152,864,0.716,140.03448,"Unknown","[M+H]+",NA,0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",27.59,9596.66666666667,137.809537040253,19,"Early RT","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F791_mz135.0556_rt0.93",0.0500337070717584,0.905592322783537,0.938259808399929,2.6720157977715,0.000254146579157794,0.0044100490060431,-2.45586025557765,0.000279371866086219,0.0230172895120152,791,0.933,135.05556,"Unknown","[M+H]+",NA,0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",49.96,17197.3333333333,16.8254094388991,19,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2004_mz218.1501_rt0.45",-2.40643719165858,0.000677385076418747,0.0465753557089132,-0.353827216029963,0.213970119546992,0.315397513877709,-1.88648963508272,0.0002591573650012,0.0230172895120152,2004,0.446,218.1501,"Unknown","[M+H]+","ion correlated with 2058; ion correlated with 493; ion correlated with 2360; ion correlated with 2364; ion correlated with 2016; ion correlated with 1812; ion correlated with 1989; ion correlated with 2207; ion correlated with 1541",0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",276.61,0,1574746,13,"Very early RT","No MS/MS assignment","Unknown",TRUE,FALSE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2465_mz255.098_rt0.48",NA,NA,NA,NA,NA,NA,2.73904791867325,0.000322082541799539,0.0244902021597945,2465,0.481,255.09801,"Unknown","[M+H]+",NA,0.393,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",135.66,0,1346025,16,"Very early RT","No MS/MS assignment","Unknown",FALSE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F837_mz138.0553_rt0.98",-1.56906506787693,0.00793205067605368,0.0703039960311164,1.95773128525422,4.07842337459191e-05,0.0030126839287431,-3.36067713300998,0.000334313662050892,0.0245123552925172,837,0.983,138.05528,"Unknown","[M+H]+",NA,0.321,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",464.17,30179,123.736348575215,24,"Early RT","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1577_mz190.0031_rt0.42",-0.214954927901943,0.583955798533435,0.664491327418438,2.1955994681855,0.00158527885787448,0.0108718519860274,-2.2444308544135,0.00037091933319028,0.026258530725505,1577,0.418,190.00308,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",36.56,7876.66666666667,31.1413278043414,24,"Very early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1774_mz202.9707_rt0.38",-0.364661643902753,0.251927714087098,0.359511939159513,-2.02490743789655,8.94488197803732e-05,0.00374086832920911,1.82634734145203,0.000399340652066561,0.0273282119564217,1774,0.384,202.97069,"Unknown","[M+H]+","ion correlated with 2852; ion correlated with 898",0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",161.82,4173,111.591039770005,24,"Very early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2392_mz248.1497_rt1.19",5.56165051018433,0.000137876513598409,0.0240647545657531,1.97630397241725,0.00113901291246601,0.0090721379343784,3.75142671691903,0.000429274673723198,0.0282810803222437,2392,1.192,248.14972,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707; ion correlated with 2166; ion correlated with 3235; ion correlated with 2358; ion correlated with 1768",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",106.81,6117.66666666667,258.656515580737,23,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2816_mz280.155_rt1.08",11.9445285082464,0.0377205137242296,0.116604694332802,9.81317419614932,0.0676252051185728,0.135728749442228,2.14950074251466,0.000440815669903458,0.0282810803222437,2816,1.076,280.15497,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",123.69,11048.3333333333,269.108815011464,18,"RT >= 1 min","MS/MS available","Unknown",FALSE,FALSE,TRUE,TRUE,"Age-sensitive fungal effect"
"F1352_mz173.1399_rt0.77",1.56829680865009,0.00245494022456965,0.0617555979727435,-1.67040505995016,0.00724665936455123,0.0274791398827692,3.40481490473807,0.000476714900537138,0.0288758694925447,1352,0.77,173.13991,"Unknown","[M+H]+","similar chromatogram in higher mz_4233; similar chromatogram in higher mz_4520; similar chromatogram in higher mz_2073",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",76.05,0,2212920,18,"Early RT","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2437_mz252.1235_rt1.13",2.5715694487767,0.00188464813674167,0.0602291073558713,-0.387775026212736,0.0634160707361727,0.128991470045799,3.12545616177451,0.000491609059896335,0.0288758694925447,2437,1.131,252.12346,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",126.62,0,2344398,14,"RT >= 1 min","MS/MS available","Unknown",FALSE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2188_mz232.0973_rt1.25",1.9306952190824,0.000881821838734922,0.0475363011579493,-0.499140498384922,0.0263011560020661,0.0673855802761738,2.59593801151548,0.000492282236843188,0.0288758694925447,2188,1.251,232.09734,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1692.53,0,277906,13,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F3331_mz318.13_rt0.45",1.15646491399117,0.0999789042899584,0.213206892701048,-3.52708551832023,0.00141426869310838,0.0101209851204635,4.84963012915201,0.000622833649719476,0.0290977027952274,3331,0.451,318.12997,"Unknown","[M+H]+","ion correlated with 2759",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",280.99,0,625250,14,"Very early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F885_mz141.0549_rt1.07",8.71120208920096,0.000127431950680379,0.0240647545657531,4.35002165054771,0.00132978053184354,0.00997487475560564,4.52727557431738,0.000623623440326354,0.0290977027952274,885,1.069,141.05486,"Unknown","[M+H]+","ion correlated with 1306; similar chromatogram in higher mz_1284; similar chromatogram in higher mz_2816; similar chromatogram in higher mz_2941; similar chromatogram in higher mz_3277",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",736.51,26056.6666666667,531.143719698617,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2289_mz241.1549_rt0.77",1.44297402937377,0.00344757587203632,0.065585877962684,-2.00047472049357,0.00412522671977448,0.0189292079980685,3.60955579908391,0.000585261066033456,0.0290977027952274,2289,0.772,241.15492,"Unknown","[M+H]+",NA,0.321,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",85.92,2287.66666666667,325.111564229537,23,"Early RT","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1850_mz208.0972_rt1.18",2.4399161241355,0.00105212273126183,0.0487197240251651,-0.449489075300419,0.0910808651246812,0.170167542249404,3.05552119708571,0.000548166282079395,0.0290977027952274,1850,1.177,208.09721,"Unknown","[M+H]+","ion correlated with 1359; similar chromatogram in higher mz_2707; similar chromatogram in higher mz_2166; similar chromatogram in higher mz_2205",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",153.05,1656,2557.69885334943,21,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2481_mz256.0819_rt0.65",8.9780304184186,3.53805221696124e-05,0.0196682984185489,6.61955007752676,0.000118971799567564,0.00374086832920911,2.52455427484241,0.000593157571418459,0.0290977027952274,2481,0.652,256.08191,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",720.63,0,5673333,12,"Early RT","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F3782_mz360.1504_rt0.48",-0.583641338331079,0.125657668852273,0.241827673953737,2.06384088490655,0.000183365664793633,0.00400777622989398,-2.48136464969917,0.0005416882136428,0.0290977027952274,3782,0.477,360.15045,"Unknown","[M+H]+",NA,0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",11282.18,2555,14687.5888106416,21,"Very early RT","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F807_mz136.0759_rt1.14",-2.57465891881446,0.000401815260539635,0.0456410498205451,-0.362605379231725,0.0305763309704784,0.0746325497881569,-2.04593058320628,0.000620411275280172,0.0290977027952274,807,1.139,136.07594,"Unknown","[M+H]+","ion correlated with 3603; ion correlated with 3335; ion correlated with 3569; ion correlated with 2499; ion correlated with 1811",0.179,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",83.46,20258.3333333333,42.2637796571128,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,TRUE,"Age-sensitive fungal effect"
"F2143_mz228.1963_rt1.68",-0.244092445579101,0.305306125078644,0.4055852446156,1.59251860962539,7.5204591678392e-05,0.0036322217682968,-1.67048793506301,0.000526218831705204,0.0290977027952274,2143,1.682,228.19626,"Unknown","[M+H]+",NA,0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",39.13,26842,9.41869388667437,24,"RT >= 1 min","No MS/MS assignment","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
