"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F1364_mz174.1492_rt0.66",1.36687115966957,16.3008321548593,1.12362343744504,0.312727461627883,0.355345834427201,-6.49233821048756,1364,0.663,174.14917,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",37.47,2341,93.2096498719044,16,"Exudate vs Leaf","Exudate","Not selected"
"F1164_mz161.1078_rt1.03",-0.839832886413064,13.0218360925279,-1.12316782485498,0.312903374796275,0.355345834427201,-6.49282483380672,1164,1.035,161.1078,"Unknown","[M+H]+","ion correlated with 4334; ion correlated with 4112",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",77.45,1394.33333333333,130.675585284281,21,"Exudate vs Leaf","Leaf","Not selected"
"F1958_mz215.1394_rt0.91",0.642974505843537,14.6417855744021,1.10802675344565,0.318798570217279,0.361702303031567,-6.50892972085115,1958,0.91,215.13939,"Unknown","[M+H]+","ion correlated with 2544; ion correlated with 2928; ion correlated with 1993; ion correlated with 350; ion correlated with 765; ion correlated with 1568",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",571.36,2258.66666666667,7600.34887151497,22,"Exudate vs Leaf","Exudate","Not selected"
"F5148_mz784.5856_rt8.75",4.82362303190723,11.8378477369997,1.10494983813043,0.320008286198728,0.362735816475496,-6.51218652384073,5148,8.746,784.58557,"Unknown","[M+H]+","ion correlated with 5137; ion correlated with 5115",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",17.01,0,390075,15,"Exudate vs Leaf","Exudate","Not selected"
"F4064_mz390.9117_rt0.44",-4.90639613059701,12.283292934251,-1.10353647311892,0.320565293852256,0.362830886823711,-6.51368069479936,4064,0.435,390.91174,"Unknown","[M+H]+","ion correlated with 3718; ion correlated with 3187; ion correlated with 3765; ion correlated with 4097; ion correlated with 2873; ion correlated with 4065",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",84.74,0,101978,5,"Exudate vs Leaf","Leaf","Not selected"
"F2498_mz257.1388_rt1.04",-0.347657230914853,17.529569191508,-1.10322057912844,0.320689902439738,0.362830886823711,-6.51401449193612,2498,1.036,257.13885,"Unknown","[M+H]+","similar chromatogram in higher mz_2969; similar chromatogram in higher mz_4267",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",19.73,91436,7.27362008814812,24,"Exudate vs Leaf","Leaf","Not selected"
"F5160_mz796.5945_rt9.58",-4.84875031548379,12.2206282566737,-1.09993828385905,0.321987128449932,0.363959379830743,-6.51747939969888,5160,9.582,796.59448,"Unknown","[M+H]+",NA,0.036,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",58.28,2476.66666666667,47.9769944840576,17,"Exudate vs Leaf","Leaf","Not selected"
"F1394_mz176.8941_rt0.44",-0.457958064303581,17.0688709526138,-1.09415253258706,0.324284807215664,0.366215586939363,-6.52357183334186,1394,0.443,176.8941,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1536,0,360448,17,"Exudate vs Leaf","Leaf","Not selected"
"F379_mz105.0701_rt1.26",-4.52715597287915,11.4369536749482,-1.09157296300421,0.32531377349607,0.367036171955603,-6.52628184839685,379,1.256,105.07012,"Unknown","[M+H]+","ion correlated with 1003; ion correlated with 1754; ion correlated with 2021; ion correlated with 3568; ion correlated with 1272; ion correlated with 1996; similar chromatogram in higher mz_1207; found in higher mz's MsMs_1207",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",34.38,1761.66666666667,124.631051437216,20,"Exudate vs Leaf","Leaf","Not selected"
"F2021_mz219.1749_rt1.21",-4.24684777334437,10.7009326109724,-1.07449568207452,0.332196807988094,0.374161718273032,-6.54412378975868,2021,1.207,219.17487,"Unknown","[M+H]+","ion correlated with 2799; ion correlated with 2619; ion correlated with 2102; ion correlated with 1003; ion correlated with 1754; ion correlated with 1272; ion correlated with 1996; similar chromatogram in higher mz_4583",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",96.12,578.666666666667,840.608970672801,14,"Exudate vs Leaf","Leaf","Not selected"
