"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F709_mz129.066_rt0.47",0.67992596956068,22.6475794017094,3.04240881654617,0.0281834095260703,0.103233173648698,-3.68262536475533,709,0.473,129.06604,"Unknown","[M+H]+","similar chromatogram in higher mz_3427; similar chromatogram in higher mz_4004; similar chromatogram in higher mz_4551; similar chromatogram in higher mz_4507",0.536,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",721.4,4010.33333333333,1821.32881834801,24,"Fungi old vs Fungal control","Fungi old","Not selected"
"F4201_mz410.2025_rt0.99",-1.68722493316905,14.9144289576715,-3.03963577578307,0.0282736450451616,0.103233173648698,-3.68607045428726,4201,0.992,410.20251,"Unknown","[M+H]+","ion correlated with 1904; ion correlated with 3060; ion correlated with 4029; ion correlated with 1654; ion correlated with 1405; ion correlated with 3624; ion correlated with 2793; ion correlated with 3937; ion correlated with 4037; ion correlated with 3608; ion correlated with 1217; ion correlated with 4207; ion correlated with 3309; ion correlated with 4550; ion correlated with 4658; ion correlated with 4257",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3183.42,0,546769,15,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2168_mz230.1585_rt0.98",-4.98565159519065,19.6208073565213,-3.03924243568445,0.0282864705809475,0.103233173648698,-3.68655920682967,2168,0.979,230.15849,"Unknown","[M+H]+","ion correlated with 1015; ion correlated with 737; ion correlated with 2359; ion correlated with 2018; ion correlated with 2068; ion correlated with 2600",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",700.79,2193,2403.1353691887,20,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F634_mz124.0395_rt0.5",2.62291421108333,20.1792601787886,3.03867318859036,0.0283050433892918,0.103233173648698,-3.68726657397085,634,0.499,124.03953,"Unknown","[M+H]+","found in higher mz's MsMs_2482; found in higher mz's MsMs_3427",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",71.5,187739.333333333,15.5056398820356,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F2147_mz229.0612_rt1.23",0.880599008465523,17.7505214415327,3.03745720387975,0.0283447629718549,0.103233173648698,-3.68877775077344,2147,1.227,229.06122,"Unknown","[M+H]+","ion correlated with 1580; ion correlated with 2837",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",36.61,17671.3333333333,14.511552898127,22,"Fungi old vs Fungal control","Fungi old","Not selected"
"F1015_mz149.0599_rt0.95",-4.68332823909242,19.2600925696585,-3.03554846173682,0.0284072368911594,0.103294904657116,-3.69115027039125,1015,0.954,149.05994,"Unknown","[M+H]+","ion correlated with 1785; ion correlated with 391; ion correlated with 2359; ion correlated with 2018; ion correlated with 2168; ion correlated with 2068",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",270.41,7738.33333333333,467.798561460936,23,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F3897_mz371.193_rt1.04",-1.29687116532268,16.2172620876926,-3.03293195936587,0.0284931263630931,0.103310639597913,-3.69440333523373,3897,1.042,371.19302,"Unknown","[M+H]+","ion correlated with 4113; ion correlated with 4382; ion correlated with 4334; ion correlated with 4219; ion correlated with 4508; ion correlated with 4112; ion correlated with 3964; ion correlated with 4293; ion correlated with 3969; ion correlated with 4585; ion correlated with 4081; ion correlated with 3431",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",17.85,625,213.241214057508,13,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F3431_mz328.1871_rt1.08",-1.89154457481481,16.6220542324214,-3.03215807173615,0.0285185856417742,0.103310639597913,-3.6953656808856,3431,1.081,328.1871,"Unknown","[M+H]+","ion correlated with 3362; ion correlated with 4293; ion correlated with 3969; ion correlated with 3174; ion correlated with 3629; ion correlated with 4585; ion correlated with 4081; ion correlated with 3921; ion correlated with 4090; ion correlated with 4127; ion correlated with 1681; ion correlated with 4361; ion correlated with 4335; ion correlated with 3759; ion correlated with 3584; ion correlated with 2671",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",48.68,3375.66666666667,67.440473840079,21,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F711_mz129.1025_rt1.08",-3.20325044618405,16.8110231255659,-3.03126012029023,0.0285481582317723,0.103310639597913,-3.69648240588039,711,1.081,129.10252,"Unknown","[M+H]+","ion correlated with 3543; ion correlated with 3921; ion correlated with 2671",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",99.86,4929.66666666667,81.9337479718767,19,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F1973_mz216.6269_rt0.92",-2.14364408799334,16.2907573421221,-3.02110498490925,0.0288849974394654,0.104363151576667,-3.70911941205043,1973,0.917,216.62689,"Unknown","[M+H]+","ion correlated with 4846; ion correlated with 3912; ion correlated with 2319; ion correlated with 845; ion correlated with 4393; ion correlated with 4302; ion correlated with 4390",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2396.49,0,239921,12,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2587_mz264.0986_rt1.08",11.6491974441069,14.4387496578269,3.0168077170555,0.029028870225719,0.104716226617101,-3.71447116799791,2587,1.084,264.09857,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 1606; ion correlated with 2486; ion correlated with 2253; ion correlated with 2418; ion correlated with 523; similar chromatogram in higher mz_3734",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",152.84,0,1324433,13,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F32_mz66.0191_rt9.68",1.93998270490917,16.4772439636204,3.0143388988074,0.0291118883508852,0.104742011978287,-3.71754693963731,32,9.681,66.01914,"Unknown","[M+H]+","similar chromatogram in higher mz_2167; found in higher mz's MsMs_1220",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",85.79,36939,7.98619382782891,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F1825_mz206.1182_rt1.05",0.710427514428857,17.134984883372,3.01385050849121,0.0291283426876594,0.104742011978287,-3.7181554980995,1825,1.054,206.11816,"Unknown","[M+H]+","ion correlated with 3867; ion correlated with 2840; ion correlated with 3048; ion correlated with 2136; ion correlated with 3205; ion correlated with 2029; ion correlated with 3450; ion correlated with 2792",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",22.28,1006,158.904667328699,13,"Fungi old vs Fungal control","Fungi old","Not selected"
"F952_mz145.0498_rt0.68",-0.667316880791379,20.4577030184313,-3.00983580386325,0.0292639962298358,0.105063302920091,-3.7231592496003,952,0.681,145.04976,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",130.35,325141.666666667,6.78016214420747,24,"Fungi old vs Fungal control","Fungal control","Not selected"
"F2274_mz239.9668_rt0.39",-0.739490457311487,20.7520937722675,-3.00720838244701,0.0293531565092482,0.105216922779596,-3.72643513910924,2274,0.39,239.96683,"Unknown","[M+H]+","ion correlated with 1974; ion correlated with 1246",0.857,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",7020.12,756,13114.9194187583,24,"Fungi old vs Fungal control","Fungal control","Not selected"
"F1285_mz169.095_rt0.41",-4.29671557651795,18.9391214510845,-3.00289454956787,0.0295002029143309,0.105442307987634,-3.73181569166847,1285,0.412,169.09497,"Unknown","[M+H]+","ion correlated with 1831; ion correlated with 1304; ion correlated with 4409",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",235.19,54434.6666666667,49.3990275983271,22,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F40_mz69.0337_rt0.47",-0.703818144188867,19.1280395798544,-3.00185986397742,0.0295355945932815,0.105442307987634,-3.733106608111,40,0.474,69.03374,"Unknown","[M+H]+","found in higher mz's MsMs_1621; found in higher mz's MsMs_3408; found in higher mz's MsMs_1901; found in higher mz's MsMs_1657; found in higher mz's MsMs_3782; found in higher mz's MsMs_2608; found in higher mz's MsMs_1698",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",19.02,32761,26.6278005005799,24,"Fungi old vs Fungal control","Fungal control","Not selected"
"F4217_mz413.2137_rt0.4",-1.6682335638001,19.4390838406453,-3.00128009662235,0.0295554463993544,0.105442307987634,-3.73383001313784,4217,0.398,413.21371,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9733.46,0,1437444,12,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F3624_mz346.1502_rt1",2.87173811587757,13.9441803958541,2.99520628235537,0.0297643175296541,0.106020779395267,-3.74141134907824,3624,1.005,346.15018,"Unknown","[M+H]+","ion correlated with 4029; ion correlated with 1654; ion correlated with 4201; ion correlated with 1405; ion correlated with 3171; ion correlated with 2793; ion correlated with 3937; ion correlated with 4037; ion correlated with 3608; ion correlated with 1217; ion correlated with 4207; ion correlated with 3309; ion correlated with 4550; ion correlated with 4658; ion correlated with 4759; ion correlated with 1837; ion correlated with 4035",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",19724.71,0,1059979,11,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F1378_mz175.108_rt1.09",-2.084790106239,19.329593759425,-2.99301689567802,0.0298400114247918,0.106123802386916,-3.7441453622767,1378,1.091,175.10802,"Unknown","[M+H]+","ion correlated with 3786; ion correlated with 2908; ion correlated with 2190",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",268.41,0,1586697,19,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F2078_mz223.9891_rt0.38",-0.905974761053051,19.6781536970204,-2.98862109599062,0.0299926373354318,0.106386641721063,-3.74963659817565,2078,0.382,223.98914,"Unknown","[M+H]+",NA,0.786,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",179.88,59519.3333333333,57.6990216228628,24,"Fungi old vs Fungal control","Fungal control","Not selected"
