"sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","group","replicate","broad_matrix"
"new_in_P10",25.0975525112964,4.80330446343495,9.83716084381321,9.08261183422648,-26.5707553198112,3.30923669858619,5.10385575640502,-1.9918839243817,3.68947863169554,-2.85483778114143,0.806949121771274,-0.472902598882835,3.65220012703148,-5.58046019137569,-1.2490574796438,-3.77662833385442,14.027525808462,-3.46302440415746,-0.950271700376881,0.221142158398915,-0.750545895286139,0.192025920526712,0.258362372398072,6.54858112181245e-17,"Fungal agar in","3","Fungal agar"
"new_out_P08",42.7584797729323,13.0036598605943,14.3803102219464,-0.166930621727851,-10.0565493071498,-0.794746151976592,-6.9040128350209,5.23107273838878,-1.16017676371073,8.45746951004083,4.80379362896826,0.0929074948696131,-14.9391656160249,2.76106552104227,-1.95804555762638,9.24604530101868,2.61160970386945,-2.68231053378867,0.11351544828079,-0.228966977299424,0.378966330034825,0.537664069011032,-0.125500221246167,2.82803294671119e-14,"Fungal agar out","1","Fungal agar"
"new_out_P09",50.7214646511088,14.0814027516949,12.4763384664894,-5.90574330864432,1.75199276444083,-2.47749537619542,-10.7055384243977,3.45518273831003,-5.69634479716419,4.11930621745483,1.96262230565411,-1.18988792833493,8.07778863705421,1.43495445274364,-7.09684013754088,-1.36689947612122,2.49140505609928,12.7891187345357,-1.19670524705729,0.187367934740752,0.480382855864492,-0.209074696714371,0.109287923258949,3.97511884520085e-15,"Fungal agar out","2","Fungal agar"
"new_out_P10",49.9951788306159,13.8347095176018,12.0061295066013,-6.69415726793851,3.4127954362809,-3.76796623427705,-9.62090429460759,4.41760750362932,-6.27264674017608,3.94183721086309,2.57096077251898,0.864461565191431,10.4043974673394,-1.50363786406129,2.55971825813169,-1.7933587413424,-4.21186971151433,-12.4806956023215,1.17661287088727,0.228216588890473,-0.548861916595014,-0.0147610606519097,-0.166828758901386,3.44481387859474e-14,"Fungal agar out","3","Fungal agar"
"root_1",-38.6383024482812,-10.7616301370619,16.6580509630437,36.7314031597438,10.5589200489207,-2.26737357080553,0.221748832702249,-11.6805285046037,-9.16352894396709,-3.02816573933512,9.43441787910361,1.56741095007804,-2.3995418472599,-9.34067909912873,-2.82974778109075,1.45216841350728,-2.53268289958968,0.61549186473685,-0.171065766766036,0.469198188758337,-0.299061433794215,0.321990531886491,0.544221063606854,2.59401874980192e-14,"Root","1","Plant tissue"
"root_2",-35.1871908030933,-12.1025276257236,17.2476920576598,37.4461123324438,8.93826628243541,-0.879709187515546,0.422390230780796,-2.76306083520291,-1.81820229224309,1.26283429558663,-1.25832332357256,1.49743522570637,1.51786572016741,16.138075276707,3.7299159151457,-3.04036151118944,4.29150158056808,-1.26022735007035,-0.414965993561297,-0.467044921163938,-0.0082983356654932,-0.417978163172491,-0.332595053336282,4.02603297922077e-14,"Root","2","Plant tissue"
"root_3",-37.1532141044901,-10.9688791163217,16.4098336705639,35.2727054956379,9.95211495926601,0.0689401081703946,-0.513065429109591,15.8426123646519,11.4880734200528,2.75530658602001,-7.22723466855393,-2.09543451930317,1.30033244033648,-6.8495641085187,-0.770158846979655,1.46946736439851,-1.84883177276416,0.899448608633221,0.512780019097956,-0.0251395364832506,0.300610864751061,0.102102505286923,-0.200519480352251,2.62255495098174e-14,"Root","3","Plant tissue"
"Soil_control_1",-26.2179895232239,-42.0137449645268,0.329528706539547,-15.809132516352,1.95105297005442,0.322434319088694,0.698549435595948,-0.632301239627798,-2.32390524538425,-0.0625842451140539,-0.663028078386321,-12.1164513733365,-0.812295628220274,0.806412940234849,0.597823130584993,0.413262432904153,0.807893861212047,-0.457388445527249,2.0364902813195,11.6784606127588,-0.157399014440357,-1.27287859496052,-0.183588481451113,5.58234014569337e-14,"Soil control","1","Soil extract"
"Soil_control_2",-25.4167774907202,-41.6309610993036,-0.373520902354783,-14.6920534193993,0.574988188105971,0.358170537617931,-0.1036507315103,-0.676232772786747,-3.82738643901104,-0.849544712549859,-0.084973439281415,-12.5803595367118,-0.0195307049998055,-0.953429828349185,2.51700296757522,0.172824468493532,0.768053008671344,-0.482988750484836,-1.58608091868523,-9.1612255909556,5.63466501141917,1.65455920331087,-1.81223595603309,1.9742454199223e-14,"Soil control","2","Soil extract"
"Soil_control_3",-25.5170468354691,-42.1186468631842,-0.640565698711238,-16.0316121082208,-0.35205728737284,-1.09371544350438,-0.271508295730258,0.732731340348216,0.0992894406799837,0.840652025028327,0.180177866277194,-1.03228014755346,-0.590723310304179,0.137087716069232,0.403106706841401,0.508357514632883,-0.526596055674946,0.841834494396705,-1.47602074818486,-4.48979945441448,-11.9901406339773,-2.30403595974208,1.69655217770836,3.94507560300128e-14,"Soil control","3","Soil extract"
