"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern","RT_flag","MSMS_flag","annotation_flag","evidence_tier"
"F1037_mz151.0354_rt0.39",-1.01272444910651,23.9809168275941,-4.86795990709411,0.00475644033553929,0.0848855043992748,-1.52974695547006,1037,0.392,151.03539,"Unknown","[M+H]+",NA,0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",732.15,92989.3333333333,347.847908922433,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F195_mz88.0233_rt0.4",-0.982072257295236,23.9340464647187,-5.30865351145508,0.00328931773841743,0.0848855043992748,-1.16733290321915,195,0.402,88.02334,"Unknown","[M+2H]2+","ion correlated with 142; ion correlated with 49; ion correlated with 174; found in higher mz's MsMs_306; found in higher mz's MsMs_615; found in higher mz's MsMs_329; similar chromatogram in higher mz_2864; similar chromatogram in higher mz_2611; similar chromatogram in higher mz_1577; similar chromatogram in higher mz_3067",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",820.26,247678.666666667,105.782785291216,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F663_mz125.9864_rt0.39",-0.863860391562691,24.9744448900019,-4.87893262662266,0.00471160750950421,0.0848855043992748,-1.52035692833768,663,0.394,125.98639,"Unknown","[M+H]+","ion correlated with 222",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",936.84,345436.333333333,160.462959996603,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F921_mz143.9971_rt0.4",-0.802940865727637,23.0077491172257,-4.86395906738579,0.00477291104738573,0.0848855043992748,-1.53317549088084,921,0.398,143.99707,"Unknown","[M+H]+","ion correlated with 306",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",591.37,162936.333333333,78.3333797042626,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F427_mz110.0088_rt0.39",-0.75515688708509,25.1104798763764,-4.83514068066889,0.00489354015697357,0.0848855043992748,-1.5579470425383,427,0.389,110.00883,"Unknown","[M+H]+","ion correlated with 691",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",764.28,116999.333333333,486.6793399449,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F1517_mz185.0325_rt0.44",-0.746164761749194,18.2285903927671,-4.97623512284785,0.00433493234111106,0.0848855043992748,-1.43792334873028,1517,0.439,185.03252,"Unknown","[M+H]+","ion correlated with 1518",0.321,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",99.06,51260.3333333333,166.44397336524,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F1246_mz167.013_rt0.4",-1.07586402150868,21.9336330390673,-4.41641851288421,0.00711907503848384,0.0974900134313544,-1.93318479473551,1246,0.397,167.01297,"Unknown","[M+H]+","ion correlated with 2274",0.821,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",52.84,67494.6666666667,119.357766177582,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F964_mz146.03_rt0.4",-0.828226166617161,20.9454882808307,-4.43379314671328,0.0070059188147201,0.0974900134313544,-1.91703272433915,964,0.399,146.02997,"Unknown","[M+H]+","ion correlated with 2006; ion correlated with 1061; found in higher mz's MsMs_1285",0.5,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.22,23259,179.917497850387,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F174_mz84.9599_rt0.39",-0.771364059394217,23.964333334948,-4.41748334426045,0.00711207929048614,0.0974900134313544,-1.93219341394393,174,0.393,84.95986,"Unknown","[M+H]+","ion correlated with 142; ion correlated with 49; ion correlated with 195; found in higher mz's MsMs_663; found in higher mz's MsMs_1974; found in higher mz's MsMs_1246; found in higher mz's MsMs_921; found in higher mz's MsMs_343; found in higher mz's MsMs_2006; found in higher mz's MsMs_2507",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",181.52,155291.333333333,155.602498084258,24,"Exudate vs Soil","Soil","Not selected",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 5: low priority"
"F147_mz82.5372_rt0.39",-1.23822621827513,25.5076958583798,-4.26199050463921,0.00822382749281383,0.0987866099511584,-2.07901535987697,147,0.391,82.53722,"Unknown","[M+H]+",NA,0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",4367.84,140271.333333333,772.76399717692,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
