"feature_name","times_in_top20","Average Rt(min)","Average Mz","Metabolite name","Adduct type","MS/MS assigned","Formula","Ontology","sample_to_blank_ratio"
"F379_mz105.0701_rt1.26",3,1.256,105.07012,"Unknown","[M+H]+",TRUE,"null","null",124.631051437216
"F1474_mz182.0274_rt1.18",2,1.184,182.0274,"Unknown","[M+H]+",TRUE,"null","null",66.2247477487252
"F1866_mz209.1176_rt1.18",2,1.18,209.11765,"Unknown","[M+H]+",FALSE,"null","null",20.8894718606148
"F1919_mz213.1488_rt1.44",2,1.438,213.14877,"Unknown","[M+H]+",TRUE,"null","null",32.025655158591
"F1996_mz217.1592_rt1.23",2,1.227,217.15921,"Unknown","[M+H]+",TRUE,"null","null",1009.99542184434
"F2053_mz222.1129_rt1.18",2,1.179,222.11288,"Unknown","[M+H]+",TRUE,"null","null",150.442820504898
"F2316_mz243.1838_rt0.44",2,0.44,243.18379,"Unknown","[M+H]+",TRUE,"null","null",1146484
"F2578_mz263.1032_rt1.06",2,1.058,263.10315,"Unknown","[M+H]+",TRUE,"null","null",1206323
"F259_mz97.0286_rt1.01",2,1.015,97.02865,"Unknown","[M+H]+",FALSE,"null","null",17.4035873793402
"F2935_mz288.2902_rt1.87",2,1.869,288.29022,"Unknown","[M+H]+",TRUE,"null","null",146.646373272657
"F3027_mz295.2272_rt1.44",2,1.44,295.22723,"Unknown","[M+H]+",TRUE,"null","null",35.7894076754936
"F3090_mz300.1447_rt0.89",2,0.892,300.14468,"Unknown","[M+H]+",FALSE,"null","null",292392
"F71_mz74.0601_rt0.45",2,0.451,74.06015,"Unknown","[M+H]+",FALSE,"null","null",12.9204789514069
"F1024_mz149.1326_rt1.44",1,1.44,149.13264,"Unknown","[M+H]+",FALSE,"null","null",365.327323943662
"F1045_mz151.9513_rt0.42",1,0.425,151.95126,"Unknown","[M+H]+",FALSE,"null","null",76.7665861628072
"F1048_mz152.0568_rt0.48",1,0.484,152.05682,"Unknown","[M+H]+",TRUE,"null","null",5.46643687685338
"F1050_mz152.0569_rt0.64",1,0.645,152.05687,"Unknown","[M+H]+",TRUE,"null","null",17.7908083777395
"F1302_mz170.958_rt0.41",1,0.411,170.95804,"Unknown","[M+H]+",FALSE,"null","null",27.9967887484249
"F1304_mz171.0168_rt0.44",1,0.44,171.01677,"Unknown","[M+H]+",FALSE,"null","null",2595263
"F1391_mz176.1188_rt0.97",1,0.971,176.11876,"Unknown","[M+H]+",FALSE,"null","null",106965
"F1400_mz177.0249_rt0.43",1,0.427,177.02486,"Unknown","[M+H]+",FALSE,"null","null",9.39560759025319
"F1441_mz180.0869_rt0.69",1,0.694,180.0869,"Unknown","[M+H]+",FALSE,"null","null",18.6025882337826
"F1552_mz188.0381_rt0.95",1,0.952,188.03806,"Unknown","[M+H]+",FALSE,"null","null",806171
"F1616_mz192.9989_rt0.43",1,0.431,192.99886,"Unknown","[M+H]+",FALSE,"null","null",930399
"F1666_mz195.1382_rt1.44",1,1.442,195.1382,"Unknown","[M+H]+",TRUE,"null","null",31.9022898016105
"F1939_mz215.0377_rt1.17",1,1.173,215.03769,"Unknown","[M+H]+",FALSE,"null","null",321138
"F2031_mz220.9355_rt0.41",1,0.408,220.93546,"Unknown","[M+H]+",FALSE,"null","null",26.2835365369025
"F2102_mz226.1081_rt1.19",1,1.187,226.10806,"Unknown","[M+H]+",FALSE,"null","null",512691
"F2251_mz238.0715_rt0.75",1,0.746,238.07153,"Unknown","[M+H]+",TRUE,"null","null",1880942
"F2253_mz238.1079_rt1.08",1,1.084,238.10786,"Unknown","[M+H]+",TRUE,"null","null",2467.11543287327
"F2257_mz238.1443_rt1.83",1,1.828,238.14426,"Unknown","[M+H]+",TRUE,"null","null",257621
"F2486_mz256.1184_rt1.08",1,1.084,256.11844,"Unknown","[M+H]+",TRUE,"null","null",904366
"F2517_mz259.0648_rt0.42",1,0.417,259.06479,"Unknown","[M+H]+",FALSE,"null","null",358160
"F2571_mz262.1289_rt0.68",1,0.681,262.12891,"Unknown","[M+H]+",TRUE,"null","null",7603815
"F2572_mz262.1291_rt0.5",1,0.503,262.12906,"Unknown","[M+H]+",TRUE,"null","null",8712.19807923169
"F2588_mz264.1084_rt0.47",1,0.469,264.10837,"Unknown","[M+H]+",FALSE,"null","null",2124.89085072231
"F2633_mz268.1046_rt1.06",1,1.062,268.10458,"Unknown","[M+H]+",FALSE,"null","null",120.881355932203
"F2645_mz269.1752_rt1.19",1,1.187,269.17523,"Unknown","[M+H]+",FALSE,"null","null",24.5063253724285
"F2693_mz273.076_rt1.17",1,1.173,273.07599,"Unknown","[M+H]+",FALSE,"null","null",449.695108695652
"F2707_mz273.1814_rt1.18",1,1.175,273.1814,"Unknown","[M+H]+",TRUE,"null","null",8007141
"F2779_mz277.148_rt0.89",1,0.889,277.14801,"Unknown","[M+H]+",FALSE,"null","null",6254196
"F2784_mz277.2166_rt1.44",1,1.44,277.21664,"Unknown","[M+H]+",FALSE,"null","null",159530
"F2799_mz279.0771_rt1.16",1,1.158,279.07709,"Unknown","[M+H]+",TRUE,"null","null",1202615
"F2812_mz280.0922_rt0.45",1,0.452,280.09225,"Unknown","[M+H]+",FALSE,"null","null",1719333
"F2939_mz289.0922_rt0.57",1,0.572,289.09225,"Unknown","[M+H]+",FALSE,"null","null",656692
"F3055_mz298.0637_rt0.45",1,0.449,298.06369,"Unknown","[M+H]+",FALSE,"null","null",216285
"F3103_mz301.1627_rt0.42",1,0.421,301.16272,"Unknown","[M+H]+",FALSE,"null","null",5.72914789225994
"F3166_mz304.8961_rt0.41",1,0.413,304.89606,"Unknown","[M+H]+",FALSE,"null","null",6.67600711056325
"F3168_mz305.0571_rt0.41",1,0.406,305.05707,"Unknown","[M+H]+",FALSE,"null","null",119984
"F3213_mz309.0873_rt1.33",1,1.327,309.08731,"Unknown","[M+H]+",TRUE,"null","null",2065759
"F3222_mz310.1192_rt1.07",1,1.069,310.11917,"Unknown","[M+H]+",FALSE,"null","null",215597
"F3223_mz310.1291_rt0.94",1,0.94,310.12909,"Unknown","[M+H]+",TRUE,"null","null",8484799
"F3235_mz311.1582_rt1.19",1,1.189,311.1582,"Unknown","[M+H]+",TRUE,"null","null",1715.22290674881
"F3244_mz312.1114_rt0.75",1,0.746,312.11145,"Unknown","[M+H]+",TRUE,"null","null",4306275
"F3262_mz313.2381_rt1.45",1,1.447,313.23813,"Unknown","[M+H]+",FALSE,"null","null",101.993303571429
"F3350_mz319.1296_rt0.96",1,0.96,319.12955,"Unknown","[M+H]+",TRUE,"null","null",923913
"F3420_mz327.0523_rt0.42",1,0.417,327.05231,"Unknown","[M+H]+",FALSE,"null","null",100875
"F3428_mz328.1397_rt0.94",1,0.942,328.13974,"Unknown","[M+H]+",TRUE,"null","null",46910673
"F3429_mz328.1399_rt1.1",1,1.096,328.13986,"Unknown","[M+H]+",FALSE,"null","null",415618
"F3541_mz337.172_rt0.44",1,0.443,337.17197,"Unknown","[M+H]+",FALSE,"null","null",2995643
"F3590_mz343.0262_rt0.41",1,0.413,343.02625,"Unknown","[M+H]+",FALSE,"null","null",321423
"F3598_mz344.1345_rt0.82",1,0.824,344.13446,"Unknown","[M+H]+",TRUE,"null","null",5176065
"F3639_mz347.1245_rt1.03",1,1.03,347.12445,"Unknown","[M+H]+",FALSE,"null","null",287773
"F3657_mz348.2749_rt1.44",1,1.44,348.2749,"Unknown","[M+H]+",TRUE,"null","null",3900.07301243916
"F3714_mz353.248_rt1.46",1,1.463,353.24805,"Unknown","[M+H]+",FALSE,"null","null",110820
"F3721_mz354.0791_rt0.96",1,0.963,354.07913,"Unknown","[M+H]+",FALSE,"null","null",351941
"F3965_mz379.2082_rt0.92",1,0.921,379.20819,"Unknown","[M+H]+",FALSE,"null","null",439619
"F4087_mz394.1657_rt1.5",1,1.501,394.16571,"Unknown","[M+H]+",FALSE,"null","null",115518
"F4133_mz400.2699_rt1.26",1,1.261,400.26993,"Unknown","[M+H]+",FALSE,"null","null",210332
"F4365_mz440.2505_rt1.17",1,1.172,440.25055,"Unknown","[M+H]+",FALSE,"null","null",104278
"F4410_mz448.1673_rt0.53",1,0.532,448.16733,"Unknown","[M+H]+",FALSE,"null","null",962022
"F4538_mz475.1779_rt0.47",1,0.468,475.17786,"Unknown","[M+H]+",FALSE,"null","null",1247586
"F4577_mz487.1796_rt0.66",1,0.657,487.17957,"Unknown","[M+H]+",FALSE,"null","null",1069468
"F468_mz112.8959_rt0.44",1,0.441,112.8959,"Unknown","[M+H]+",FALSE,"null","null",459380
"F4744_mz551.1962_rt0.88",1,0.875,551.19623,"Unknown","[M+H]+",FALSE,"null","null",176303
"F4980_mz672.4172_rt3.78",1,3.782,672.41724,"Unknown","[M+H]+",FALSE,"null","null",131456
"F5035_mz707.2215_rt0.53",1,0.528,707.2215,"Unknown","[M+H]+",FALSE,"null","null",1453199
"F728_mz130.1229_rt1.24",1,1.235,130.12289,"Unknown","[M+H]+",TRUE,"null","null",265.412116850404
"F804_mz136.0619_rt0.64",1,0.643,136.06194,"Unknown","[M+H]+",TRUE,"null","null",1000.89984609174
"F839_mz138.0763_rt0.71",1,0.708,138.07628,"Unknown","[M+H]+",TRUE,"null","null",2843.32315053368
"F885_mz141.0549_rt1.07",1,1.069,141.05486,"Unknown","[M+H]+",TRUE,"null","null",531.143719698617
