"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F4593_mz492.2444_rt1.19","Plant-soil exudate","Soil control",19.5288337736076,19.4835437234559,0.0452900501516851,0.0121503718551653,0.00585879075390774,0.0112995811169625,0.0220065702890748,1.03189061742022,"Higher in Plant-soil exudate",4593,1.191,492.24445,"Unknown","[M+H]+",NA,TRUE,"null","null","null",5889.43,1346080,6
"F3382_mz322.2382_rt1.36","Plant-soil exudate","Soil control",19.5211279962651,19.475837946439,0.0452900498261251,0.0121503717690844,0.00585879071108064,0.0112995811226401,0.0220065702890748,1.03189061718736,"Higher in Plant-soil exudate",3382,1.358,322.23825,"Unknown","[M+H]+","ion correlated with 2898; ion correlated with 4842; ion correlated with 4908; ion correlated with 2121; ion correlated with 2648; ion correlated with 3162; ion correlated with 3571; ion correlated with 3726; ion correlated with 3870; ion correlated with 1868; ion correlated with 3611; ion correlated with 3795; ion correlated with 4977; ion correlated with 3872; ion correlated with 3000; ion correlated with 3655; ion correlated with 5151",FALSE,"null","null","null",37.95,577116,3
"F835_mz138.0182_rt0.51","Plant-soil exudate","Soil control",19.5052737095964,19.4599836604456,0.0452900491508075,0.0121503715905257,0.00585879062224071,0.0112995811344257,0.0220065702890748,1.03189061670434,"Higher in Plant-soil exudate",835,0.514,138.01825,"Unknown","[M+2H]2+","similar chromatogram in higher mz_3139; similar chromatogram in higher mz_1115",TRUE,"null","null","null",188.99,1812729,18
"F2087_mz225.01_rt0.52","Plant-soil exudate","Soil control",19.4988509273794,19.4535608785042,0.0452900488751062,0.0121503715176278,0.00585879058597074,0.0112995811392365,0.0220065702890748,1.03189061650714,"Higher in Plant-soil exudate",2087,0.52,225.01004,"Unknown","[M+H]+",NA,TRUE,"null","null","null",337.11,3025869,18
"F2749_mz275.1718_rt0.52","Plant-soil exudate","Soil control",19.4974489170689,19.4521588682541,0.0452900488147598,0.0121503715016733,0.00585879057803262,0.0112995811402936,0.0220065702890748,1.03189061646398,"Higher in Plant-soil exudate",2749,0.52,275.17178,"Unknown","[M+H]+","ion correlated with 4691",FALSE,"null","null","null",385.63,1352.49392572024,12
"F4995_mz684.256_rt0.64","Plant-soil exudate","Soil control",19.4971453787335,19.4518553299319,0.0452900488016894,0.0121503714982172,0.00585879057631436,0.0112995811405187,0.0220065702890748,1.03189061645463,"Higher in Plant-soil exudate",4995,0.638,684.25604,"Unknown","[M+H]+","ion correlated with 2141",FALSE,"null","null","null",357.84,1485192,12
"F4483_mz463.1239_rt1","Plant-soil exudate","Soil control",19.4465102915998,19.4012202450178,0.0452900465820214,0.0121503709113185,0.00585879028430958,0.0112995811792486,0.0220065702890748,1.03189061486701,"Higher in Plant-soil exudate",4483,0.999,463.1239,"Unknown","[M+H]+","ion correlated with 4002; ion correlated with 4201; ion correlated with 3937; ion correlated with 4037; ion correlated with 4247; ion correlated with 567; ion correlated with 3662; ion correlated with 3961; ion correlated with 4550; ion correlated with 4668; ion correlated with 4257; ion correlated with 4565; ion correlated with 4052",FALSE,"null","null","null",7578.24,404285,3
"F5069_mz726.4797_rt6.41","Plant-soil exudate","Soil control",19.4429240673771,19.3976340209552,0.0452900464218402,0.0121503708689656,0.00585879026323777,0.0112995811820435,0.0220065702890748,1.03189061475244,"Higher in Plant-soil exudate",5069,6.407,726.47974,"Unknown","[M+H]+","ion correlated with 5076",TRUE,"null","null","null",64.18,679157,3
"F4678_mz523.1089_rt1.1","Plant-soil exudate","Soil control",19.4305271781633,19.3852371322982,0.0452900458650412,0.0121503707217469,0.00585879018998913,0.0112995811917708,0.0220065702890748,1.03189061435419,"Higher in Plant-soil exudate",4678,1.104,523.10889,"Unknown","[M+H]+","ion correlated with 2865; ion correlated with 799; ion correlated with 4338; ion correlated with 1439; ion correlated with 3188; ion correlated with 4486; ion correlated with 2012; ion correlated with 3491; ion correlated with 4709; ion correlated with 1598",FALSE,"null","null","null",16363.83,1241832,3
"F4725_mz542.7323_rt0.42","Plant-soil exudate","Soil control",19.4261944340272,19.3809043883578,0.0452900456693079,0.0121503706699935,0.00585879016424053,0.0112995811951851,0.0220065702890748,1.03189061421419,"Higher in Plant-soil exudate",4725,0.419,542.7323,"Unknown","[M+H]+","ion correlated with 2405; ion correlated with 3696; ion correlated with 4259; ion correlated with 4582; ion correlated with 3927; ion correlated with 4463; ion correlated with 4731; ion correlated with 3230; ion correlated with 2200; ion correlated with 998; ion correlated with 2220; ion correlated with 3142; ion correlated with 3708",FALSE,"null","null","null",10034.31,585648,3
