"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F4022_mz385.245_rt1.03","Leaf","Root",14.670010557573,16.6131742591363,-1.94316370156331,0.000755507466861265,0.105716436205527,0.00098463621580869,0.00629371931457528,0.26004555777491,"Higher in Root",4022,1.034,385.245,"Unknown","[M+H]+","ion correlated with 3294; ion correlated with 3477; ion correlated with 4312; ion correlated with 2891; ion correlated with 3913; ion correlated with 3451; ion correlated with 1544; ion correlated with 2698; ion correlated with 61; ion correlated with 3613; ion correlated with 761; ion correlated with 1392; ion correlated with 3479; ion correlated with 3786; ion correlated with 3587; ion correlated with 3129; ion correlated with 3160; ion correlated with 2526; ion correlated with 2633; ion correlated with 3603; ion correlated with 3335; ion correlated with 3569",FALSE,"null","null","null",138.01,14.6196447917009,24
"F3413_mz326.1815_rt1.03","Leaf","Root",17.4734039390152,15.4658158727325,2.00758806628272,0.192570272608832,0.283600889870258,0.000992441236320536,0.00629371931457528,4.02109401189614,"Higher in Leaf",3413,1.026,326.18146,"Unknown","[M+H]+","similar chromatogram in higher mz_4112",FALSE,"null","null","null",52.13,122.30227348158,24
"F873_mz140.0684_rt0.44","Leaf","Root",15.3462252768208,18.986601561494,-3.64037628467318,0.534409540311257,0.489554263624209,0.000994518633871357,0.00629371931457528,0.0801931998264455,"Higher in Root",873,0.443,140.06836,"Unknown","[M+H]+","ion correlated with 2790; found in higher mz's MsMs_2833; similar chromatogram in higher mz_4732; similar chromatogram in higher mz_4563",TRUE,"null","null","null",63.69,24.8209932815983,24
"F3655_mz348.2386_rt1.39","Leaf","Root",16.8020351366987,11.4152631342588,5.38677200243987,0.332242076801576,0.0518971522167893,0.00100052669500572,0.00629371931457528,41.8388705885338,"Higher in Leaf",3655,1.391,348.23859,"Unknown","[M+H]+","ion correlated with 3162; ion correlated with 3382; ion correlated with 3571; ion correlated with 1288; ion correlated with 3870; ion correlated with 4967; ion correlated with 1868; ion correlated with 3795; ion correlated with 4977; ion correlated with 3872; ion correlated with 2752; ion correlated with 3711; ion correlated with 4926; ion correlated with 3925; ion correlated with 4972",FALSE,"null","null","null",140.31,346113,5
"F1648_mz194.1179_rt1.29","Leaf","Root",15.4539493158251,18.1854958921786,-2.73154657635346,0.284510035682809,0.123555822497243,0.00101267364158273,0.00629371931457528,0.150564486028754,"Higher in Root",1648,1.295,194.11792,"Unknown","[M+H]+","ion correlated with 2051; ion correlated with 2484; ion correlated with 3213; similar chromatogram in higher mz_3843; similar chromatogram in higher mz_3972; similar chromatogram in higher mz_2051",TRUE,"null","null","null",100.06,12.913896120569,24
"F5130_mz773.5206_rt7.79","Leaf","Root",16.0400484253034,17.3046616954444,-1.26461327014097,0.126266295776886,0.0519158220029276,0.00101390033461955,0.00629371931457528,0.416210922199268,"Higher in Root",5130,7.788,773.52057,"Unknown","[M+H]+",NA,FALSE,"null","null","null",15.09,165678,4
"F61_mz72.0809_rt1","Leaf","Root",14.6242858696362,17.4828867307194,-2.85860086108313,0.424343653724421,0.326376726431719,0.00102184691867045,0.00629371931457528,0.137871783993173,"Higher in Root",61,1.003,72.08093,"Unknown","[M+H]+","ion correlated with 95; ion correlated with 3480; ion correlated with 3778; ion correlated with 3900; ion correlated with 3785; ion correlated with 916; ion correlated with 3294; ion correlated with 3477; ion correlated with 3132; ion correlated with 4312; ion correlated with 3393; ion correlated with 2891; ion correlated with 3913; ion correlated with 1544; ion correlated with 2698; ion correlated with 3613; ion correlated with 761; ion correlated with 3432; ion correlated with 1392; ion correlated with 4022; ion correlated with 3786; ion correlated with 3587; ion correlated with 3129; ion correlated with 3160; ion correlated with 2526; ion correlated with 2908; ion correlated with 2633; found in higher mz's MsMs_2762",FALSE,"null","null","null",21.54,10.7920914874768,24
"F388_mz106.9508_rt0.42","Leaf","Root",15.4741061393317,18.3636942201635,-2.88958808083173,0.195729932612029,0.360104644920344,0.00102890670266587,0.00629371931457528,0.134942052800447,"Higher in Root",388,0.417,106.95077,"Unknown","[M+H]+","similar chromatogram in higher mz_747; found in higher mz's MsMs_2310; similar chromatogram in higher mz_2737; similar chromatogram in higher mz_4601; similar chromatogram in higher mz_3873",FALSE,"null","null","null",185.78,86.0412712696335,24
"F195_mz88.0233_rt0.4","Leaf","Root",21.5138813797335,23.6351976463305,-2.12131626659701,0.281605533047413,0.167722106532131,0.00102908162605002,0.00629371931457528,0.229837121282012,"Higher in Root",195,0.402,88.02334,"Unknown","[M+2H]2+","ion correlated with 142; ion correlated with 49; ion correlated with 174; found in higher mz's MsMs_306; found in higher mz's MsMs_615; found in higher mz's MsMs_329; similar chromatogram in higher mz_2864; similar chromatogram in higher mz_2611; similar chromatogram in higher mz_1577; similar chromatogram in higher mz_3067",TRUE,"null","null","null",820.26,105.782785291216,24
"F3383_mz322.2743_rt4.28","Leaf","Root",10.9237091862186,18.6317308686371,-7.70802168241847,0.570916378704653,0.146282613333801,0.00102929518310718,0.00629371931457528,0.00478249215568573,"Higher in Root",3383,4.277,322.27429,"Unknown","[M+H]+",NA,FALSE,"null","null","null",21.69,195976,7
